 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertices of bone volant are shared with parent bone skladacka_predni
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2668, sum of weights is 9, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2678, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2678, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2679, sum of weights is 79, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2680, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2681, sum of weights is 67, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2681, sum of weights is 67, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2682, sum of weights is 67, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2683, sum of weights is 66, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2684, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2684, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2685, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2686, sum of weights is 55, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2687, sum of weights is 45, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2687, sum of weights is 45, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2688, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2689, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2690, sum of weights is 33, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2690, sum of weights is 33, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2691, sum of weights is 31, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2692, sum of weights is 31, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2693, sum of weights is 21, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2693, sum of weights is 21, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2694, sum of weights is 20, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertex: 2695, sum of weights is 20, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1 Error while trying to generate ST for points: 2644, 2642, 2643
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertices of bone volant are shared with parent bone skladacka_predni
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1156, sum of weights is 80, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1156, sum of weights is 80, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1158, sum of weights is 79, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1159, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1159, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1160, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1161, sum of weights is 44, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1180, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1180, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1181, sum of weights is 59, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1182, sum of weights is 58, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1183, sum of weights is 26, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1183, sum of weights is 26, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1184, sum of weights is 28, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1185, sum of weights is 27, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1207, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1207, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1208, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1209, sum of weights is 76, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1210, sum of weights is 52, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1210, sum of weights is 52, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1211, sum of weights is 53, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1212, sum of weights is 52, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1213, sum of weights is 22, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1213, sum of weights is 22, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1214, sum of weights is 23, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1215, sum of weights is 22, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1222, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1222, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1223, sum of weights is 80, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1224, sum of weights is 78, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1225, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1225, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1226, sum of weights is 56, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1227, sum of weights is 55, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1228, sum of weights is 33, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1228, sum of weights is 33, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1229, sum of weights is 32, should be 100 
 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:2, vertex: 1230, sum of weights is 31, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertices of bone volant are shared with parent bone skladacka_predni
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1763, sum of weights is 79, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1763, sum of weights is 79, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1765, sum of weights is 78, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1766, sum of weights is 62, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1766, sum of weights is 62, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1767, sum of weights is 62, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1768, sum of weights is 62, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1769, sum of weights is 44, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1769, sum of weights is 44, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1770, sum of weights is 44, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1771, sum of weights is 43, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1772, sum of weights is 5, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1772, sum of weights is 5, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1773, sum of weights is 5, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1774, sum of weights is 5, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1775, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1775, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1775, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1775, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1776, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1776, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1777, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1777, sum of weights is 30, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1799, sum of weights is 71, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1799, sum of weights is 71, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1800, sum of weights is 72, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1801, sum of weights is 71, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1802, sum of weights is 58, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1802, sum of weights is 58, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1803, sum of weights is 59, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1804, sum of weights is 58, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1805, sum of weights is 43, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1805, sum of weights is 43, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1806, sum of weights is 44, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1807, sum of weights is 44, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1808, sum of weights is 26, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1808, sum of weights is 26, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1809, sum of weights is 28, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1810, sum of weights is 27, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1811, sum of weights is 12, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1811, sum of weights is 12, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1811, sum of weights is 12, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1811, sum of weights is 12, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1812, sum of weights is 14, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1812, sum of weights is 14, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1813, sum of weights is 13, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1813, sum of weights is 13, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1826, sum of weights is 77, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1826, sum of weights is 77, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1827, sum of weights is 78, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1828, sum of weights is 76, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1829, sum of weights is 64, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1829, sum of weights is 64, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1830, sum of weights is 65, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1831, sum of weights is 64, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1832, sum of weights is 52, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1832, sum of weights is 52, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1833, sum of weights is 53, should be 100 
